team_id;match_id;data;league_name;league_tier;radiant_team;dire_team;time_lado;time_venceu;radiant_kills;dire_kills;torres_destruidas_radiant;torres_destruidas_dire;barracks_destruidas_radiant;barracks_destruidas_dire;roshans_radiant;roshans_dire;duration_min
9691969;8279731583;04/05/2025;Snake Trophy;professional;Execration;Team Nemesis;Dire;FALSO;19;14;7;3;2;0;1;0;295
9691969;8281233598;05/05/2025;Snake Trophy;professional;InterActive Philippines;Team Nemesis;Dire;FALSO;30;24;8;4;4;0;0;1;380
9691969;8282515178;06/05/2025;EPL World Series: Southeast Asia 2024-2025 Season ;professional;Ivory;Team Nemesis;Dire;VERDADEIRO;7;30;2;6;0;2;0;1;282
9691969;8282431714;06/05/2025;EPL World Series: Southeast Asia 2024-2025 Season ;professional;InterActive Philippines;Team Nemesis;Dire;VERDADEIRO;11;31;3;7;0;2;1;1;309
9691969;8282387426;06/05/2025;EPL World Series: Southeast Asia 2024-2025 Season ;professional;InterActive Philippines;Team Nemesis;Dire;VERDADEIRO;26;47;6;8;0;4;1;2;499
9691969;8283499836;07/05/2025;EPL World Series: Southeast Asia 2024-2025 Season ;professional;Execration;Team Nemesis;Dire;FALSO;32;25;11;6;6;0;3;0;417
9691969;8290253787;12/05/2025;EPL World Series: Southeast Asia 2024-2025 Season ;professional;Execration;Team Nemesis;Dire;VERDADEIRO;16;21;3;9;0;4;1;1;335
9651185;8293099336;14/05/2025;FISSURE Universe Episode 5;professional;Wildcard;AVULUS;Radiant;VERDADEIRO;31;12;8;5;0;0;1;0;377
9691969;8292580202;14/05/2025;EPL World Series: Southeast Asia 2024-2025 Season ;professional;Tech Free Gaming;Team Nemesis;Dire;VERDADEIRO;8;31;1;4;0;0;0;0;204
9691969;8292545667;14/05/2025;EPL World Series: Southeast Asia 2024-2025 Season ;professional;Tech Free Gaming;Team Nemesis;Dire;FALSO;25;7;8;2;4;0;0;1;283
9691969;8293815391;15/05/2025;EPL World Series: Southeast Asia 2024-2025 Season ;professional;Tech Free Gaming;Team Nemesis;Dire;VERDADEIRO;18;48;1;8;0;4;0;2;350
9651185;8295512981;16/05/2025;FISSURE Universe Episode 5;professional;Wildcard;Runa Team;Radiant;FALSO;12;34;3;9;0;4;0;1;331
9651185;8295428133;16/05/2025;FISSURE Universe Episode 5;professional;Wildcard;Runa Team;Radiant;FALSO;5;32;3;6;0;2;0;1;289
9651185;8295048778;16/05/2025;FISSURE Universe Episode 5;professional;Wildcard;Virtus.pro;Radiant;FALSO;13;24;2;9;0;6;0;1;278
9691969;8296472924;17/05/2025;Snake Trophy;professional;Team Nemesis;Tech Free Gaming;Radiant;VERDADEIRO;34;13;6;2;1;0;1;0;303
9691969;8296389818;17/05/2025;Snake Trophy;professional;Team Nemesis;Tech Free Gaming;Radiant;VERDADEIRO;43;37;8;8;4;4;3;1;560
9691969;8299192690;19/05/2025;Snake Trophy;professional;Team Nemesis;Yangon Galacticos;Radiant;FALSO;11;35;3;8;0;4;0;2;384
9691969;8299144171;19/05/2025;Snake Trophy;professional;Yangon Galacticos;Team Nemesis;Dire;FALSO;30;14;11;3;6;0;2;0;391
