team_id;match_id;data;league_name;league_tier;radiant_team;dire_team;time_lado;time_venceu;radiant_kills;dire_kills;torres_destruidas_radiant;torres_destruidas_dire;barracks_destruidas_radiant;barracks_destruidas_dire;roshans_radiant;roshans_dire;duration_min
9651185;8143668956;24/01/2025;FISSURE PLAYGROUND 1 - Dota;professional;Wildcard;BB Team;Radiant;FALSO;13;35;3;9;0;1;0;1;375
9651185;8146556130;26/01/2025;FISSURE PLAYGROUND 1 - Dota;professional;Wildcard;Tundra Esports;Radiant;FALSO;15;44;2;8;0;4;0;2;282
9651185;8205418745;08/03/2025;PGL Wallachia 2025 Season 3;professional;Wildcard;Aurora Gaming;Radiant;FALSO;6;39;1;9;0;4;0;2;337
9651185;8208324872;10/03/2025;PGL Wallachia 2025 Season 3;professional;Wildcard;Team Tidebound;Radiant;FALSO;8;36;2;8;0;4;0;3;404
9651185;8209590208;11/03/2025;PGL Wallachia 2025 Season 3;professional;Wildcard;HEROIC;Radiant;FALSO;37;35;6;11;0;6;0;5;623
36;8211043335;12/03/2025;PGL Wallachia 2025 Season 3;professional;Tundra Esports;Natus Vincere;Dire;FALSO;34;8;7;0;2;0;1;0;217
9651185;8224205942;22/03/2025;FISSURE Universe Episode 4;professional;Wildcard;Team Liquid;Radiant;FALSO;7;26;3;8;0;2;0;1;354
9651185;8228484910;25/03/2025;FISSURE Universe Episode 4;professional;Wildcard;BOOM Esports;Radiant;FALSO;8;16;5;9;0;6;0;1;364
36;8239410626;02/04/2025;DreamLeague Season 26 Qualifiers;professional;Aurora Gaming;Natus Vincere;Dire;VERDADEIRO;44;51;8;11;2;4;3;1;588
9303484;8247437946;08/04/2025;ESL One Raleigh 2025;professional;BB Team;HEROIC;Dire;FALSO;20;6;10;0;4;0;1;0;249
9303484;8248399016;09/04/2025;ESL One Raleigh 2025;professional;Tundra Esports;HEROIC;Dire;FALSO;18;8;9;3;4;0;1;1;325
9017006;8261832223;20/04/2025;PGL Wallachia 2025 Season 4;professional;NAVI Junior;BB Team;Radiant;FALSO;9;37;1;9;0;2;0;2;385
9017006;8264431247;22/04/2025;PGL Wallachia 2025 Season 4;professional;NAVI Junior;Nigma Galaxy;Radiant;VERDADEIRO;29;27;11;9;4;4;2;3;606
9017006;8264388384;22/04/2025;PGL Wallachia 2025 Season 4;professional;Nigma Galaxy;NAVI Junior;Dire;VERDADEIRO;22;26;4;9;0;4;0;2;373
9017006;8265699842;23/04/2025;PGL Wallachia 2025 Season 4;professional;NAVI Junior;Team Falcons;Radiant;VERDADEIRO;18;14;8;4;4;0;3;0;398
9017006;8265651162;23/04/2025;PGL Wallachia 2025 Season 4;professional;Team Falcons;NAVI Junior;Dire;VERDADEIRO;19;30;3;10;0;6;1;1;404
9303484;8265765707;23/04/2025;PGL Wallachia 2025 Season 4;professional;Aurora Gaming;HEROIC;Dire;FALSO;32;12;9;2;6;0;1;0;329
9017006;8266865035;24/04/2025;PGL Wallachia 2025 Season 4;professional;NAVI Junior;Team Spirit;Radiant;FALSO;7;29;2;9;0;4;0;2;386
9017006;8266926541;24/04/2025;PGL Wallachia 2025 Season 4;professional;Team Spirit;NAVI Junior;Dire;FALSO;39;7;8;0;4;0;1;0;306
9017006;8267941933;25/04/2025;PGL Wallachia 2025 Season 4;professional;Tundra Esports;NAVI Junior;Dire;FALSO;45;25;11;7;6;1;3;1;528
9017006;8267884608;25/04/2025;PGL Wallachia 2025 Season 4;professional;Tundra Esports;NAVI Junior;Dire;FALSO;28;47;11;7;6;3;2;2;602
9017006;8299465396;19/05/2025;DreamLeague Season 26;professional;NAVI Junior;Yakult Brothers;Radiant;FALSO;8;22;2;6;0;0;1;0;257
9017006;8299396751;19/05/2025;DreamLeague Season 26;professional;Yakult Brothers;NAVI Junior;Dire;VERDADEIRO;6;17;3;8;0;2;0;1;298
7732977;8299593219;19/05/2025;DreamLeague Season 26;professional;BOOM Esports;Aurora Gaming;Radiant;FALSO;16;40;3;8;0;4;0;1;436
7732977;8299699153;19/05/2025;DreamLeague Season 26;professional;Aurora Gaming;BOOM Esports;Dire;FALSO;29;15;9;3;5;0;1;1;317
7732977;8299320379;19/05/2025;DreamLeague Season 26;professional;Xtreme Gaming;BOOM Esports;Dire;FALSO;24;16;8;3;4;0;1;0;349
9017006;8302230033;21/05/2025;DreamLeague Season 26;professional;NAVI Junior;PVISION;Radiant;FALSO;29;32;7;9;0;2;1;2;450
9017006;8301774902;21/05/2025;DreamLeague Season 26;professional;NAVI Junior;Gaimin Gladiators;Radiant;VERDADEIRO;34;12;9;4;5;0;2;0;376
9017006;8302161579;21/05/2025;DreamLeague Season 26;professional;PVISION;NAVI Junior;Dire;FALSO;14;6;7;3;4;0;1;0;269
9017006;8301864945;21/05/2025;DreamLeague Season 26;professional;Gaimin Gladiators;NAVI Junior;Dire;VERDADEIRO;3;42;2;7;0;2;0;1;337
7732977;8302012922;21/05/2025;DreamLeague Season 26;professional;BOOM Esports;Team Liquid;Radiant;FALSO;31;31;8;11;2;6;1;2;601
7732977;8301679243;21/05/2025;DreamLeague Season 26;professional;BOOM Esports;Nigma Galaxy;Radiant;FALSO;14;40;2;9;0;5;0;3;394
7732977;8302141060;21/05/2025;DreamLeague Season 26;professional;Team Liquid;BOOM Esports;Dire;FALSO;40;20;10;4;4;0;3;0;504
7732977;8301640076;21/05/2025;DreamLeague Season 26;professional;Nigma Galaxy;BOOM Esports;Dire;FALSO;24;8;7;1;4;0;1;0;235
9351740;8302303861;21/05/2025;DreamLeague Season 26;professional;Gaimin Gladiators;Yakult Brothers;Dire;VERDADEIRO;34;58;9;11;4;6;2;5;979
9017006;8303049436;22/05/2025;DreamLeague Season 26;professional;NAVI Junior;Team Falcons;Radiant;FALSO;7;35;3;11;0;6;0;2;355
9017006;8302954023;22/05/2025;DreamLeague Season 26;professional;Team Falcons;NAVI Junior;Dire;VERDADEIRO;25;35;7;11;0;6;1;2;457
7732977;8302886610;22/05/2025;DreamLeague Season 26;professional;BOOM Esports;BB Team;Radiant;FALSO;25;24;4;9;0;6;0;1;388
7732977;8302823263;22/05/2025;DreamLeague Season 26;professional;BOOM Esports;BB Team;Radiant;FALSO;20;27;6;10;0;4;1;2;450
9247354;8303335846;22/05/2025;DreamLeague Season 26;professional;Team Falcons;Gaimin Gladiators;Radiant;FALSO;11;30;1;7;0;2;1;1;266
9351740;8304347724;23/05/2025;DreamLeague Season 26;professional;Team Liquid;Yakult Brothers;Dire;VERDADEIRO;37;57;6;9;2;6;2;3;640
9351740;8309099900;26/05/2025;DreamLeague Season 26;professional;Gaimin Gladiators;Yakult Brothers;Dire;VERDADEIRO;9;39;2;7;0;2;0;2;323
9351740;8311170339;28/05/2025;DreamLeague Season 26;professional;Yakult Brothers;Aurora Gaming;Radiant;FALSO;15;21;6;9;0;0;0;2;390
9351740;8311243348;28/05/2025;DreamLeague Season 26;professional;Aurora Gaming;Yakult Brothers;Dire;FALSO;18;23;6;6;2;0;1;2;455
9351740;8312730139;29/05/2025;DreamLeague Season 26;professional;Yakult Brothers;BB Team;Radiant;FALSO;28;30;7;9;1;6;1;2;449
9351740;8312622965;29/05/2025;DreamLeague Season 26;professional;BB Team;Yakult Brothers;Dire;FALSO;28;17;8;3;3;0;1;1;355
7554697;8313000571;29/05/2025;DreamLeague Season 26;professional;Nigma Galaxy;Aurora Gaming;Radiant;FALSO;17;26;5;11;2;6;1;1;391
9467224;8314368342;30/05/2025;DreamLeague Season 26;professional;Aurora Gaming;Gaimin Gladiators;Radiant;FALSO;20;37;2;11;0;6;0;1;363
8255888;8315806434;31/05/2025;DreamLeague Season 26;professional;BB Team;PVISION;Radiant;FALSO;4;18;3;6;0;2;0;1;280
8255888;8317288887;01/06/2025;DreamLeague Season 26;professional;BB Team;PVISION;Radiant;FALSO;23;21;5;11;0;6;1;2;478
8255888;8317181521;01/06/2025;DreamLeague Season 26;professional;BB Team;PVISION;Radiant;FALSO;15;22;6;8;0;0;1;1;365
8255888;8317092630;01/06/2025;DreamLeague Season 26;professional;BB Team;PVISION;Radiant;FALSO;8;31;3;6;0;2;0;2;298
9351740;8330333113;11/06/2025;Road To The International 2025 - Regional Qualifiers China;professional;Yakult Brothers;Xtreme Gaming;Radiant;FALSO;19;36;5;9;0;6;1;2;461
9351740;8330293034;11/06/2025;Road To The International 2025 - Regional Qualifiers China;professional;Yakult Brothers;Xtreme Gaming;Radiant;FALSO;35;29;9;11;2;6;0;2;214
9351740;8330168409;11/06/2025;Road To The International 2025 - Regional Qualifiers China;professional;Yakult Brothers;Xtreme Gaming;Radiant;FALSO;31;25;7;11;0;6;1;2;457
9351740;8330108311;11/06/2025;Road To The International 2025 - Regional Qualifiers China;professional;Xtreme Gaming;Yakult Brothers;Dire;VERDADEIRO;16;29;3;7;0;4;0;3;417
9351740;8331584762;12/06/2025;Road To The International 2025 - Regional Qualifiers China;professional;Yakult Brothers;Xtreme Gaming;Radiant;FALSO;10;30;1;7;0;2;0;1;289
9351740;8331423632;12/06/2025;Road To The International 2025 - Regional Qualifiers China;professional;Yakult Brothers;Xtreme Gaming;Radiant;FALSO;14;23;3;9;0;4;1;1;388
9351740;8331488821;12/06/2025;Road To The International 2025 - Regional Qualifiers China;professional;Xtreme Gaming;Yakult Brothers;Dire;FALSO;18;19;9;9;2;3;2;0;515
9017006;8334639378;14/06/2025;Road To The International 2025 - Regional Qualifiers Western Europe;professional;NAVI Junior;Nigma Galaxy;Radiant;VERDADEIRO;28;14;9;2;5;0;2;0;313
9017006;8334548587;14/06/2025;Road To The International 2025 - Regional Qualifiers Western Europe;professional;NAVI Junior;Nigma Galaxy;Radiant;FALSO;8;35;0;9;0;2;0;2;348
9017006;8334410372;14/06/2025;Road To The International 2025 - Regional Qualifiers Western Europe;professional;Nigma Galaxy;NAVI Junior;Dire;VERDADEIRO;19;33;8;8;2;4;2;2;539
